Kodea	Izena	Koord2	Koord1	Altuera
C0C1	Aranguren (Kadagua)	-3,12755	43,2137	92
C029	Granja Fraisoro	-2,06181	43,1901	149
C069	Almike	-2,73229	43,4137	106
C046	Oiz (Repetidor)	-2,5954	43,2304	980
C0F0	Ereñozu (Urumea)	-1,93922	43,242	25
C035	Altube (Peaje)	-2,86795	42,9661	618
C0E9	Alegia (Oria)	-2,10488	43,1018	90
C058	Bidania (Depósito)	-2,15502	43,146	592
C0EC	Lasarte	-2,02109	43,2527	18
C080	Añarbe	-1,84981	43,2276	184
C0BE	Berriatua	-2,47616	43,3063	25
C0B4	Orozko (Altube)	-2,91543	43,0864	200
C0E1	Amundarain	-2,15086	43,0335	111
C061	Arboleda	-3,06747	43,2967	329
C0C2	Balmaseda (Kadagua)	-3,21913	43,1771	178
C0C3	Sodupe-Cadagua	-3,0493	43,2045	80
C079	Amorebieta (Ibaizabal)	-2,73304	43,2185	65
C0DD	Aizarnazabal (Urola)	-2,24219	43,2553	25
C0BA	Oleta	-2,5088	43,3448	14
C0E5	Agauntza (Agauntza)	-2,17748	43,0179	180
C0B3	Urkizu (Arratia)	-2,7721	43,1849	75
C022	Urkiola (Puerto)	-2,64658	43,102	709
C044	Gorbea (Embalse)	-2,73515	42,9995	662
C0DC	Ibai Eder (Ibai Eder)	-2,25601	43,1751	90
C050	Zambrana (Peaje)	-2,8869	42,6751	470
C027	Llodio (Depuradora)	-2,95079	43,1423	207
C003	Derio (Granja)	-2,87342	43,2931	30
C0B7	Mañaria (Izurtza)	-2,64657	43,1437	168
C039	Deusto	-2,96791	43,2834	3
C055	Ozaeta (Barrundia)	-2,49313	42,913	548
C057	Mungia (Depuradora)	-2,84702	43,363	22
C049	Subijana (Peaje)	-2,89328	42,8196	537
C067	Gardea (Nerbioi)	-2,98025	43,1272	141
C024	Iturrieta (Granja)	-2,34575	42,7955	987
C077	Andoain (Leitzaran)	-2,01559	43,2109	52
C0DB	Aitzu (Alto Urola)	-2,323	43,1141	312
C018	Higer	-1,79615	43,3933	43
C0D2	San Prudentzio (Deba)	-2,44745	43,0835	175
C059	Ordunte (Embalse)	-3,28404	43,1623	300
C0D3	Aixola (Embalse)	-2,50123	43,1547	320
C0C4	Sodupe-Herrerias	-3,04461	43,2024	70
C017	Miramon	-1,97121	43,2888	113
C0B1	Abusu (Nerbioi)	-2,91364	43,2474	23
C078	Altzola (Deba)	-2,39784	43,2419	17
C0B2	Zaratamo (Nerbioi)	-2,87935	43,22	65
C0B6	Berna (Ibaizabal)	-2,67238	43,1871	95
C0DE	Matxinbenta	-2,23513	43,1135	250
C002	Arteaga	-2,65714	43,349	19
C052	Ameraun	-1,95085	43,1417	285
C0E8	Araxes	-2,04772	43,1148	141
C0B8	Larrainazubi	-2,99932	43,3463	7
C0BD	Iruzubieta	-2,526	43,2584	110
C0AA	Etura	-2,50361	42,8878	549
C0B0	La Merced	-2,92679	43,2596	680
C031	Moreda	-2,41023	42,5303	490
C032	Areta	-2,93531	43,1394	122
C085	Eibar	-2,4542	43,1921	106
C008	Zeanuri	-2,74988	43,1005	170
C006	Markina	-2,49565	43,2675	83
C00A	KM	-2,34148	42,6754	550
C0A0	Sarria	-2,8302	42,9798	655
C075	Eitzaga	-2,50096	43,1761	270
C007	Santa Clara	-1,99834	43,3238	48
C0B9	Sangroniz	-2,9308	43,2893	10
C082	Txomin Enea	-1,96198	43,3076	17
C081	Martutene	-1,95634	43,297	38
C083	Jaizubia	-1,82138	43,3402	122
C084	Behobia	-1,76117	43,346	5
C004	Bakio	-2,8124	43,4188	12
C005	Gatika	-2,90829	43,3743	11
C066	Untzueta	-2,9071	43,1392	764
