Fecha-hora;Temperatura máxima ºC;Temperatura mínima ºC;Precipitación acumulada l/m²;,Fecha-hora;Temperatura mínima ºC;Precipitación acumulada l/m²;
01/01/1982 00:00:00;;;0.0,
02/01/1982 00:00:00;;;0.0,
03/01/1982 00:00:00;;;0.0,
04/01/1982 00:00:00;13.0;;0.0,
05/01/1982 00:00:00;15.0;5.5;0.0,
06/01/1982 00:00:00;14.0;5.0;0.0,
07/01/1982 00:00:00;18.5;6.0;0.0,
08/01/1982 00:00:00;13.0;6.0;0.0,
09/01/1982 00:00:00;11.0;7.0;0.0,
10/01/1982 00:00:00;15.0;7.5;5.1,
11/01/1982 00:00:00;9.0;4.0;2.6,
12/01/1982 00:00:00;11.0;4.0;0.0,
13/01/1982 00:00:00;11.0;3.0;0.0,
14/01/1982 00:00:00;9.5;3.0;0.0,
15/01/1982 00:00:00;13.0;5.5;0.0,
16/01/1982 00:00:00;12.5;8.0;0.0,
17/01/1982 00:00:00;11.0;7.0;0.0,
18/01/1982 00:00:00;11.0;7.0;4.6,
19/01/1982 00:00:00;11.5;8.5;0.0,
20/01/1982 00:00:00;11.0;6.5;13.8,
21/01/1982 00:00:00;8.5;5.0;1.9,
22/01/1982 00:00:00;9.5;3.0;0.3,
23/01/1982 00:00:00;9.0;4.0;9.0,
24/01/1982 00:00:00;9.0;4.0;0.0,
25/01/1982 00:00:00;9.0;3.0;21.4,
26/01/1982 00:00:00;9.5;6.0;0.4,
27/01/1982 00:00:00;5.5;4.0;19.0,
28/01/1982 00:00:00;5.0;-1.0;23.0,
29/01/1982 00:00:00;6.5;0.0;14.0,
30/01/1982 00:00:00;7.0;1.5;0.0,
31/01/1982 00:00:00;7.5;1.0;0.0,
01/02/1982 00:00:00;11.5;0.0;0.0,
02/02/1982 00:00:00;13.0;2.0;0.0,
03/02/1982 00:00:00;8.5;2.5;0.0,
04/02/1982 00:00:00;9.5;6.5;0.0,
05/02/1982 00:00:00;13.0;6.5;0.0,
06/02/1982 00:00:00;10.0;3.5;0.0,
07/02/1982 00:00:00;12.0;4.0;0.0,
08/02/1982 00:00:00;10.0;2.5;0.0,
09/02/1982 00:00:00;13.0;2.5;0.0,
10/02/1982 00:00:00;15.0;4.0;0.0,
11/02/1982 00:00:00;13.0;5.0;0.0,
12/02/1982 00:00:00;12.0;3.0;0.0,
13/02/1982 00:00:00;10.5;4.0;5.0,
14/02/1982 00:00:00;10.0;2.0;0.0,
15/02/1982 00:00:00;11.0;3.0;12.0,
16/02/1982 00:00:00;8.0;3.0;3.0,
17/02/1982 00:00:00;6.0;4.0;0.4,
18/02/1982 00:00:00;10.0;3.0;11.0,
19/02/1982 00:00:00;9.0;5.0;0.0,
20/02/1982 00:00:00;10.0;4.5;0.0,
21/02/1982 00:00:00;11.5;4.5;25.0,
22/02/1982 00:00:00;10.0;3.5;15.0,
23/02/1982 00:00:00;8.0;3.0;6.5,
24/02/1982 00:00:00;8.0;1.5;6.0,
25/02/1982 00:00:00;7.0;0.5;12.0,
26/02/1982 00:00:00;6.0;2.0;3.0,
27/02/1982 00:00:00;10.0;4.0;0.0,
28/02/1982 00:00:00;13.0;6.0;0.0,
01/03/1982 00:00:00;11.0;8.0;6.0,
02/03/1982 00:00:00;12.0;6.0;0.0,
03/03/1982 00:00:00;17.0;5.0;5.3,
04/03/1982 00:00:00;6.0;2.5;21.8,
05/03/1982 00:00:00;7.5;1.5;4.0,
06/03/1982 00:00:00;12.0;1.5;0.0,
07/03/1982 00:00:00;9.0;2.0;0.0,
