Fecha-hora;Temperatura máxima ºC;Temperatura media ºC;Temperatura mínima ºC;Humedad relativa med. %;Humedad relativa máx. %;Humedad relativa mín. %;Precipitación acumulada l/m²;Radiación global W/m²;Velocidad media viento 2 m m/s;Dirección viento 2 m (MODA) sector;,Fecha-hora;Temperatura máxima ºC;Temperatura mínima ºC;Humedad relativa máx. %;Humedad relativa mín. %;Precipitación acumulada l/m²;Radiación global W/m²;Velocidad media viento 2 m m/s;Dirección viento 2 m (MODA) sector;
16/02/2000 00:00:00;13.12;9.34;6.51;70.08;88.6;50.21;0.0;103.9;0.0;1.0,
17/02/2000 00:00:00;15.38;10.8;7.94;72.0;82.3;62.12;0.82;78.26;0.01;1.0,
18/02/2000 00:00:00;17.83;12.27;7.7;67.84;83.5;46.3;0.0;144.04;0.0;1.0,
19/02/2000 00:00:00;14.86;10.94;7.16;71.06;82.4;56.17;0.0;71.37;0.0;1.0,
20/02/2000 00:00:00;13.19;9.2;4.93;60.21;76.9;40.17;0.0;162.84;0.0;1.0,
21/02/2000 00:00:00;13.74;5.57;-3.48;67.99;91.4;38.93;0.0;154.67;0.0;1.0,
22/02/2000 00:00:00;12.09;6.47;0.33;57.77;86.7;29.29;0.0;124.89;0.0;8.0,
23/02/2000 00:00:00;15.63;9.1;2.78;70.91;89.0;52.03;0.0;155.59;0.0;8.0,
24/02/2000 00:00:00;17.31;11.08;3.81;70.45;88.1;49.16;0.0;174.09;1.49;9.0,
25/02/2000 00:00:00;19.32;8.36;-0.61;71.81;96.4;40.55;0.0;175.5;0.63;1.0,
26/02/2000 00:00:00;20.33;9.31;0.32;65.72;94.3;29.82;0.0;167.94;0.94;1.0,
27/02/2000 00:00:00;21.18;10.31;-0.7;54.43;91.4;24.06;0.0;180.52;1.71;9.0,
28/02/2000 00:00:00;16.32;9.93;2.05;61.24;90.2;39.29;0.0;139.86;1.97;9.0,
29/02/2000 00:00:00;14.24;7.24;0.13;77.23;94.3;56.53;0.0;146.73;1.36;1.0,
01/03/2000 00:00:00;15.03;8.25;-0.01;67.87;92.3;47.16;0.0;110.15;5.19;1.0,
02/03/2000 00:00:00;14.3;7.29;-0.58;59.72;85.1;29.61;0.0;192.29;3.36;1.0,
